nohup: ignoring input
Pretraining 16-layer eigenbasis on 7812 images
Epoch   1/200 | Recon Loss: 0.250757
Epoch  51/200 | Recon Loss: 0.208002
Epoch  52/200 | Recon Loss: 0.208034
Epoch  53/200 | Recon Loss: 0.208036
Epoch  54/200 | Recon Loss: 0.208018
Epoch  55/200 | Recon Loss: 0.208055
Epoch  56/200 | Recon Loss: 0.208059
Epoch  57/200 | Recon Loss: 0.208027
Epoch  58/200 | Recon Loss: 0.208060
Epoch  59/200 | Recon Loss: 0.208028
Epoch  60/200 | Recon Loss: 0.208040
Epoch  61/200 | Recon Loss: 0.208005
Epoch  62/200 | Recon Loss: 0.208103
Epoch  63/200 | Recon Loss: 0.208028
Epoch  64/200 | Recon Loss: 0.208003
Epoch  65/200 | Recon Loss: 0.208028
Epoch  66/200 | Recon Loss: 0.208038
Epoch  67/200 | Recon Loss: 0.208044
Epoch  68/200 | Recon Loss: 0.208048
Epoch  69/200 | Recon Loss: 0.207965
Epoch  70/200 | Recon Loss: 0.207983
Epoch  71/200 | Recon Loss: 0.208024
Epoch  72/200 | Recon Loss: 0.207973
Epoch  73/200 | Recon Loss: 0.208017
Epoch  74/200 | Recon Loss: 0.207990
Epoch  75/200 | Recon Loss: 0.208041
Epoch  76/200 | Recon Loss: 0.208011
Epoch  77/200 | Recon Loss: 0.208053
Epoch  78/200 | Recon Loss: 0.208059
Epoch  79/200 | Recon Loss: 0.208028
Epoch  80/200 | Recon Loss: 0.208014
Epoch  81/200 | Recon Loss: 0.208048
Epoch  82/200 | Recon Loss: 0.207998
Epoch  83/200 | Recon Loss: 0.207999
Epoch  84/200 | Recon Loss: 0.208001
Epoch  85/200 | Recon Loss: 0.208024
Epoch  86/200 | Recon Loss: 0.208000
Epoch  87/200 | Recon Loss: 0.207983
Epoch  88/200 | Recon Loss: 0.208021
Epoch  89/200 | Recon Loss: 0.208087
Epoch  90/200 | Recon Loss: 0.208024
Epoch  91/200 | Recon Loss: 0.207971
Epoch  92/200 | Recon Loss: 0.207982
Epoch  93/200 | Recon Loss: 0.208038
Epoch  94/200 | Recon Loss: 0.208072
Epoch  95/200 | Recon Loss: 0.208059
Epoch  96/200 | Recon Loss: 0.207934
Epoch  97/200 | Recon Loss: 0.208027
Epoch  98/200 | Recon Loss: 0.208047
Epoch  99/200 | Recon Loss: 0.208011
Epoch 100/200 | Recon Loss: 0.208046
Epoch 101/200 | Recon Loss: 0.207941
Epoch 102/200 | Recon Loss: 0.208073
Epoch 103/200 | Recon Loss: 0.207973
Epoch 104/200 | Recon Loss: 0.208059
Epoch 105/200 | Recon Loss: 0.207991
Epoch 106/200 | Recon Loss: 0.207972
Epoch 107/200 | Recon Loss: 0.208066
Epoch 108/200 | Recon Loss: 0.208061
Epoch 109/200 | Recon Loss: 0.208012
Epoch 110/200 | Recon Loss: 0.207974
Epoch 111/200 | Recon Loss: 0.207964
Epoch 112/200 | Recon Loss: 0.207996
Epoch 113/200 | Recon Loss: 0.208067
Epoch 114/200 | Recon Loss: 0.207987
Epoch 115/200 | Recon Loss: 0.208038
Epoch 116/200 | Recon Loss: 0.207965
Epoch 117/200 | Recon Loss: 0.207969
Epoch 118/200 | Recon Loss: 0.207989
Epoch 119/200 | Recon Loss: 0.207998
Epoch 120/200 | Recon Loss: 0.208041
Epoch 121/200 | Recon Loss: 0.208000
Epoch 122/200 | Recon Loss: 0.208077
Epoch 123/200 | Recon Loss: 0.208042
Epoch 124/200 | Recon Loss: 0.207988
Epoch 125/200 | Recon Loss: 0.208011
Epoch 126/200 | Recon Loss: 0.208023
Epoch 127/200 | Recon Loss: 0.208026
Epoch 128/200 | Recon Loss: 0.207997
Epoch 129/200 | Recon Loss: 0.208031
Epoch 130/200 | Recon Loss: 0.207990
Epoch 131/200 | Recon Loss: 0.208016
Epoch 132/200 | Recon Loss: 0.208099
Epoch 133/200 | Recon Loss: 0.207993
Epoch 134/200 | Recon Loss: 0.208048
Epoch 135/200 | Recon Loss: 0.207981
Epoch 136/200 | Recon Loss: 0.207962
Epoch 137/200 | Recon Loss: 0.208030
Epoch 138/200 | Recon Loss: 0.208003
Epoch 139/200 | Recon Loss: 0.207977
Epoch 140/200 | Recon Loss: 0.207987
Epoch 141/200 | Recon Loss: 0.208047
Epoch 142/200 | Recon Loss: 0.208075
Epoch 143/200 | Recon Loss: 0.207970
Epoch 144/200 | Recon Loss: 0.208037
Epoch 145/200 | Recon Loss: 0.208028
Epoch 146/200 | Recon Loss: 0.208024
Epoch 147/200 | Recon Loss: 0.208003
Epoch 148/200 | Recon Loss: 0.208035
Epoch 149/200 | Recon Loss: 0.208065
Epoch 150/200 | Recon Loss: 0.208071
Epoch 151/200 | Recon Loss: 0.208030
Epoch 152/200 | Recon Loss: 0.208011
