nohup: ignoring input
/DATA/raghvendra3088/Implementation-of-IIDM/src/train.py:166: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler  = GradScaler(enabled=use_amp)

=======================================================
  IIDM Training
=======================================================
  Device     : cuda
  Epochs     : 200
  Batch size : 4
  LR         : 0.0001

  Loading datasets ...
  [train] 7475 patches
  [val] 1601 patches
  Train batches : 1868
  Val   batches : 401

  Initializing IIDM model ...
  Trainable params : 77.42M

  Starting training from epoch 1 ...

/DATA/raghvendra3088/Implementation-of-IIDM/src/train.py:202: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=use_amp):
  Ep 002 | step 1750/1868 | loss=1.2137 | diff=0.7358 | kd=0.6279 | recon=0.4152 | t=136s
  Ep 002 | step 1800/1868 | loss=1.2397 | diff=0.7354 | kd=0.8600 | recon=0.4184 | t=140s
  Ep 002 | step 1850/1868 | loss=1.1958 | diff=0.7301 | kd=0.6576 | recon=0.3999 | t=144s

  ── Epoch 002/200 (189s) ──────────────────────
  Train  loss=1.2502  diff=0.7664  kd=0.7170  recon=0.4121
  Val    loss=1.2210  RMSE=0.4883  MAE=0.4077  lr=1.00e-04
  [BEST] Checkpoint saved → checkpoints/best_model.pth

  Ep 003 | step 0000/1868 | loss=1.1632 | diff=0.7360 | kd=0.7529 | recon=0.3520 | t=1s
  Ep 003 | step 0050/1868 | loss=1.2053 | diff=0.7282 | kd=0.7456 | recon=0.4025 | t=4s
  Ep 003 | step 0100/1868 | loss=1.2992 | diff=0.7935 | kd=0.4560 | recon=0.4601 | t=8s
  Ep 003 | step 0150/1868 | loss=1.2715 | diff=0.7420 | kd=1.2748 | recon=0.4020 | t=12s
  Ep 003 | step 0200/1868 | loss=1.1611 | diff=0.7302 | kd=0.7267 | recon=0.3583 | t=16s
  Ep 003 | step 0250/1868 | loss=1.1767 | diff=0.7344 | kd=0.6831 | recon=0.3740 | t=20s
  Ep 003 | step 0300/1868 | loss=1.1627 | diff=0.7306 | kd=0.6310 | recon=0.3690 | t=24s
  Ep 003 | step 0350/1868 | loss=1.2133 | diff=0.7674 | kd=0.6214 | recon=0.3838 | t=28s
  Ep 003 | step 0400/1868 | loss=1.1817 | diff=0.7391 | kd=0.5627 | recon=0.3863 | t=32s
  Ep 003 | step 0450/1868 | loss=1.1443 | diff=0.7309 | kd=0.6193 | recon=0.3515 | t=35s
  Ep 003 | step 0500/1868 | loss=1.1132 | diff=0.7294 | kd=0.5163 | recon=0.3321 | t=39s
  Ep 003 | step 0550/1868 | loss=1.2013 | diff=0.7239 | kd=0.6684 | recon=0.4105 | t=43s
  Ep 003 | step 0600/1868 | loss=1.2027 | diff=0.7235 | kd=0.6657 | recon=0.4127 | t=47s
  Ep 003 | step 0650/1868 | loss=1.1526 | diff=0.7189 | kd=0.6574 | recon=0.3679 | t=51s
  Ep 003 | step 0700/1868 | loss=1.2073 | diff=0.7495 | kd=0.4888 | recon=0.4089 | t=55s
  Ep 003 | step 0750/1868 | loss=1.3533 | diff=0.7867 | kd=1.5486 | recon=0.4117 | t=59s
  Ep 003 | step 0800/1868 | loss=1.1631 | diff=0.7199 | kd=0.6581 | recon=0.3774 | t=63s
  Ep 003 | step 0850/1868 | loss=1.1436 | diff=0.7261 | kd=0.8255 | recon=0.3349 | t=66s
  Ep 003 | step 0900/1868 | loss=1.2302 | diff=0.7165 | kd=0.6020 | recon=0.4535 | t=70s
  Ep 003 | step 0950/1868 | loss=1.2202 | diff=0.7199 | kd=0.8367 | recon=0.4166 | t=74s
  Ep 003 | step 1000/1868 | loss=1.1703 | diff=0.7163 | kd=0.6758 | recon=0.3865 | t=78s
  Ep 003 | step 1050/1868 | loss=1.2254 | diff=0.7168 | kd=0.7286 | recon=0.4357 | t=82s
  Ep 003 | step 1100/1868 | loss=1.1078 | diff=0.7372 | kd=0.6819 | recon=0.3025 | t=86s
  Ep 003 | step 1150/1868 | loss=1.2312 | diff=0.7219 | kd=0.6226 | recon=0.4470 | t=90s
  Ep 003 | step 1200/1868 | loss=1.1639 | diff=0.7077 | kd=0.7742 | recon=0.3788 | t=94s
  Ep 003 | step 1250/1868 | loss=1.2887 | diff=0.7336 | kd=1.1160 | recon=0.4436 | t=98s
  Ep 003 | step 1300/1868 | loss=1.3004 | diff=0.7523 | kd=0.8154 | recon=0.4666 | t=101s
  Ep 003 | step 1350/1868 | loss=1.2888 | diff=0.7126 | kd=0.7814 | recon=0.4981 | t=105s
  Ep 003 | step 1400/1868 | loss=1.2321 | diff=0.7115 | kd=0.6442 | recon=0.4562 | t=109s
  Ep 003 | step 1450/1868 | loss=1.1869 | diff=0.7114 | kd=0.9894 | recon=0.3766 | t=113s
  Ep 003 | step 1500/1868 | loss=1.2094 | diff=0.7145 | kd=0.5734 | recon=0.4375 | t=117s
  Ep 003 | step 1550/1868 | loss=1.2496 | diff=0.7132 | kd=0.6003 | recon=0.4764 | t=121s
  Ep 003 | step 1600/1868 | loss=1.1685 | diff=0.7021 | kd=0.7007 | recon=0.3964 | t=125s
  Ep 003 | step 1650/1868 | loss=1.2185 | diff=0.7104 | kd=0.8587 | recon=0.4222 | t=129s
  Ep 003 | step 1700/1868 | loss=1.1257 | diff=0.7090 | kd=0.5684 | recon=0.3599 | t=132s
  Ep 003 | step 1750/1868 | loss=1.2980 | diff=0.7838 | kd=0.7957 | recon=0.4347 | t=136s
  Ep 003 | step 1800/1868 | loss=1.2263 | diff=0.7041 | kd=0.5079 | recon=0.4713 | t=140s
  Ep 003 | step 1850/1868 | loss=1.1856 | diff=0.7490 | kd=0.5190 | recon=0.3846 | t=144s

  ── Epoch 003/200 (188s) ──────────────────────
  Train  loss=1.2066  diff=0.7277  kd=0.7267  recon=0.4062
  Val    loss=1.1877  RMSE=0.4885  MAE=0.4054  lr=9.99e-05
  [BEST] Checkpoint saved → checkpoints/best_model.pth

  Ep 004 | step 0000/1868 | loss=1.0663 | diff=0.7078 | kd=0.4922 | recon=0.3093 | t=1s
  Ep 004 | step 0050/1868 | loss=1.1874 | diff=0.7037 | kd=0.9823 | recon=0.3855 | t=4s
  Ep 004 | step 0100/1868 | loss=1.2013 | diff=0.7072 | kd=0.6608 | recon=0.4280 | t=8s
  Ep 004 | step 0150/1868 | loss=1.2124 | diff=0.7078 | kd=0.7579 | recon=0.4288 | t=12s
  Ep 004 | step 0200/1868 | loss=1.1288 | diff=0.7011 | kd=0.9114 | recon=0.3366 | t=16s
  Ep 004 | step 0250/1868 | loss=1.2774 | diff=0.7031 | kd=0.8848 | recon=0.4858 | t=20s
  Ep 004 | step 0300/1868 | loss=1.3179 | diff=0.7662 | kd=1.0047 | recon=0.4512 | t=24s
  Ep 004 | step 0350/1868 | loss=1.1775 | diff=0.7028 | kd=0.7298 | recon=0.4018 | t=28s
  Ep 004 | step 0400/1868 | loss=1.2428 | diff=0.6973 | kd=0.7134 | recon=0.4741 | t=32s
  Ep 004 | step 0450/1868 | loss=1.1471 | diff=0.7023 | kd=0.4794 | recon=0.3969 | t=35s
  Ep 004 | step 0500/1868 | loss=1.1466 | diff=0.6915 | kd=0.6862 | recon=0.3865 | t=39s
