Pretraining eigenbasis on 7812 images
Epoch   1/200 | Recon Loss: 0.878862
Epoch  44/200 | Recon Loss: 0.721349
Epoch  45/200 | Recon Loss: 0.721492
Epoch  46/200 | Recon Loss: 0.721411
Epoch  47/200 | Recon Loss: 0.721655
Epoch  48/200 | Recon Loss: 0.721369
Epoch  49/200 | Recon Loss: 0.721745
Epoch  50/200 | Recon Loss: 0.721758
Epoch  51/200 | Recon Loss: 0.721516
Epoch  52/200 | Recon Loss: 0.721509
Epoch  53/200 | Recon Loss: 0.721572
Epoch  54/200 | Recon Loss: 0.721546
Epoch  55/200 | Recon Loss: 0.721573
Epoch  56/200 | Recon Loss: 0.721340
Epoch  57/200 | Recon Loss: 0.721409
Epoch  58/200 | Recon Loss: 0.721529
Epoch  59/200 | Recon Loss: 0.721363
Epoch  60/200 | Recon Loss: 0.721454
Epoch  61/200 | Recon Loss: 0.721550
Epoch  62/200 | Recon Loss: 0.721357
Epoch  63/200 | Recon Loss: 0.721448
Epoch  64/200 | Recon Loss: 0.721586
Epoch  65/200 | Recon Loss: 0.721534
Epoch  66/200 | Recon Loss: 0.721510
Epoch  67/200 | Recon Loss: 0.721443
Epoch  68/200 | Recon Loss: 0.721422
Epoch  69/200 | Recon Loss: 0.721651
Epoch  70/200 | Recon Loss: 0.721388
Epoch  71/200 | Recon Loss: 0.721335
Epoch  72/200 | Recon Loss: 0.721552
Epoch  73/200 | Recon Loss: 0.721596
Epoch  74/200 | Recon Loss: 0.721447
Epoch  75/200 | Recon Loss: 0.721509
Epoch  76/200 | Recon Loss: 0.721622
Epoch  77/200 | Recon Loss: 0.721529
Epoch  78/200 | Recon Loss: 0.721420
Epoch  79/200 | Recon Loss: 0.721583
Epoch  80/200 | Recon Loss: 0.721489
Epoch  81/200 | Recon Loss: 0.721343
Epoch  82/200 | Recon Loss: 0.721524
Epoch  83/200 | Recon Loss: 0.721610
Epoch  84/200 | Recon Loss: 0.721290
Epoch  85/200 | Recon Loss: 0.721273
Epoch  86/200 | Recon Loss: 0.721371
Epoch  87/200 | Recon Loss: 0.721502
Epoch  88/200 | Recon Loss: 0.721456
Epoch  89/200 | Recon Loss: 0.721505
Epoch  90/200 | Recon Loss: 0.721469
Epoch  91/200 | Recon Loss: 0.721541
Epoch  92/200 | Recon Loss: 0.721645
Epoch  93/200 | Recon Loss: 0.721427
Epoch  94/200 | Recon Loss: 0.721630
Epoch  95/200 | Recon Loss: 0.721478
Epoch  96/200 | Recon Loss: 0.721752
Epoch  97/200 | Recon Loss: 0.721579
Epoch  98/200 | Recon Loss: 0.721481
Epoch  99/200 | Recon Loss: 0.721443
Epoch 100/200 | Recon Loss: 0.721453
Epoch 101/200 | Recon Loss: 0.721561
Epoch 102/200 | Recon Loss: 0.721282
Epoch 103/200 | Recon Loss: 0.721500
Epoch 104/200 | Recon Loss: 0.721679
Epoch 105/200 | Recon Loss: 0.721446
Epoch 106/200 | Recon Loss: 0.721489
Epoch 107/200 | Recon Loss: 0.721577
Epoch 108/200 | Recon Loss: 0.721306
Epoch 109/200 | Recon Loss: 0.721539
Epoch 110/200 | Recon Loss: 0.721641
Epoch 111/200 | Recon Loss: 0.721376
Epoch 112/200 | Recon Loss: 0.721352
Epoch 113/200 | Recon Loss: 0.721476
Epoch 114/200 | Recon Loss: 0.721543
Epoch 115/200 | Recon Loss: 0.721583
Epoch 116/200 | Recon Loss: 0.721565
Epoch 117/200 | Recon Loss: 0.721638
Epoch 118/200 | Recon Loss: 0.721293
Epoch 119/200 | Recon Loss: 0.721336
Epoch 120/200 | Recon Loss: 0.721533
Epoch 121/200 | Recon Loss: 0.721481
Epoch 122/200 | Recon Loss: 0.721472
Epoch 123/200 | Recon Loss: 0.721430
Epoch 124/200 | Recon Loss: 0.721623
Epoch 125/200 | Recon Loss: 0.721472
Epoch 126/200 | Recon Loss: 0.721613
Epoch 127/200 | Recon Loss: 0.721600
Epoch 128/200 | Recon Loss: 0.721584
Epoch 129/200 | Recon Loss: 0.721374
Epoch 130/200 | Recon Loss: 0.721433
Epoch 131/200 | Recon Loss: 0.721676
Epoch 132/200 | Recon Loss: 0.721646
Epoch 133/200 | Recon Loss: 0.721743
Epoch 134/200 | Recon Loss: 0.721531
Epoch 135/200 | Recon Loss: 0.721506
Epoch 136/200 | Recon Loss: 0.721467
Epoch 137/200 | Recon Loss: 0.721730
Epoch 138/200 | Recon Loss: 0.721497
Epoch 139/200 | Recon Loss: 0.721566
Epoch 140/200 | Recon Loss: 0.721713
Epoch 141/200 | Recon Loss: 0.721355
Epoch 142/200 | Recon Loss: 0.721341
Epoch 143/200 | Recon Loss: 0.721482
Epoch 144/200 | Recon Loss: 0.721560
Epoch 145/200 | Recon Loss: 0.721438
Epoch 146/200 | Recon Loss: 0.721495
Epoch 147/200 | Recon Loss: 0.721465
Epoch 148/200 | Recon Loss: 0.721543
Epoch 149/200 | Recon Loss: 0.721340
Epoch 150/200 | Recon Loss: 0.721342
Epoch 151/200 | Recon Loss: 0.721258
Epoch 152/200 | Recon Loss: 0.721621
Epoch 153/200 | Recon Loss: 0.721531
Epoch 154/200 | Recon Loss: 0.721574
Epoch 155/200 | Recon Loss: 0.721563
Epoch 156/200 | Recon Loss: 0.721533
Epoch 157/200 | Recon Loss: 0.721344
Epoch 158/200 | Recon Loss: 0.721681
Epoch 159/200 | Recon Loss: 0.721501
Epoch 160/200 | Recon Loss: 0.721603
Epoch 161/200 | Recon Loss: 0.721587
Epoch 162/200 | Recon Loss: 0.721546
Epoch 163/200 | Recon Loss: 0.721418
Epoch 164/200 | Recon Loss: 0.721740
Epoch 165/200 | Recon Loss: 0.721452
Epoch 166/200 | Recon Loss: 0.721436
Epoch 167/200 | Recon Loss: 0.721592
Epoch 168/200 | Recon Loss: 0.721279
Epoch 169/200 | Recon Loss: 0.721679
Epoch 170/200 | Recon Loss: 0.721481
Epoch 171/200 | Recon Loss: 0.721644
Epoch 172/200 | Recon Loss: 0.721371
Epoch 173/200 | Recon Loss: 0.721494
Epoch 174/200 | Recon Loss: 0.721494
Epoch 175/200 | Recon Loss: 0.721600
Epoch 176/200 | Recon Loss: 0.721631
Epoch 177/200 | Recon Loss: 0.721337
Epoch 178/200 | Recon Loss: 0.721564
Epoch 179/200 | Recon Loss: 0.721373
Epoch 180/200 | Recon Loss: 0.721551
Epoch 181/200 | Recon Loss: 0.721466
Epoch 182/200 | Recon Loss: 0.721378
