
=======================================================
  IIDM Training
=======================================================
  Device     : cuda
  Epochs     : 15
  Batch size : 2
  LR         : 0.0002

  Loading datasets ...
  [train] 7475 patches
  [val] 1601 patches
  Train batches : 3737
  Val   batches : 801

  Initializing IIDM model ...
  Trainable params : 78.56M

  Starting training from epoch 1 ...

  Ep 002 | step 0950/3737 | loss=0.9547 | diff=0.7971 | kd=1.9994 | recon=0.0788 | t=176s
  Ep 002 | step 1000/3737 | loss=0.9350 | diff=0.7817 | kd=1.9866 | recon=0.0767 | t=186s
  Ep 002 | step 1050/3737 | loss=0.9634 | diff=0.7651 | kd=1.9879 | recon=0.0991 | t=195s
  Ep 002 | step 1100/3737 | loss=1.1303 | diff=0.7611 | kd=1.9840 | recon=0.1846 | t=204s
  Ep 002 | step 1150/3737 | loss=1.0076 | diff=0.8271 | kd=1.9727 | recon=0.0903 | t=214s
  Ep 002 | step 1200/3737 | loss=1.0502 | diff=0.7665 | kd=1.9809 | recon=0.1419 | t=223s
  Ep 002 | step 1250/3737 | loss=0.9349 | diff=0.7971 | kd=1.9867 | recon=0.0689 | t=233s
  Ep 002 | step 1300/3737 | loss=1.0659 | diff=0.8832 | kd=1.9896 | recon=0.0914 | t=242s
  Ep 002 | step 1350/3737 | loss=1.0747 | diff=0.9101 | kd=1.9975 | recon=0.0823 | t=252s
  Ep 002 | step 1400/3737 | loss=0.9750 | diff=0.7579 | kd=1.9968 | recon=0.1085 | t=261s
  Ep 002 | step 1450/3737 | loss=0.9168 | diff=0.7594 | kd=1.9908 | recon=0.0787 | t=269s
  Ep 002 | step 1500/3737 | loss=0.8701 | diff=0.7582 | kd=1.9870 | recon=0.0559 | t=277s
  Ep 002 | step 1550/3737 | loss=1.0317 | diff=0.7839 | kd=1.9774 | recon=0.1239 | t=285s
  Ep 002 | step 1600/3737 | loss=1.0279 | diff=0.7527 | kd=1.9803 | recon=0.1376 | t=293s
  Ep 002 | step 1650/3737 | loss=0.9058 | diff=0.7640 | kd=1.9912 | recon=0.0709 | t=302s
  Ep 002 | step 1700/3737 | loss=0.8918 | diff=0.7631 | kd=1.9925 | recon=0.0644 | t=311s
  Ep 002 | step 1750/3737 | loss=0.8876 | diff=0.7748 | kd=1.9881 | recon=0.0564 | t=320s
  Ep 002 | step 1800/3737 | loss=0.8822 | diff=0.7777 | kd=1.9805 | recon=0.0522 | t=330s
  Ep 002 | step 1850/3737 | loss=0.9022 | diff=0.7541 | kd=1.9861 | recon=0.0741 | t=339s
  Ep 002 | step 1900/3737 | loss=0.9099 | diff=0.7487 | kd=2.0026 | recon=0.0806 | t=348s
  Ep 002 | step 1950/3737 | loss=0.9143 | diff=0.7610 | kd=1.9798 | recon=0.0766 | t=358s
  Ep 002 | step 2000/3737 | loss=0.9088 | diff=0.7488 | kd=1.9827 | recon=0.0800 | t=367s
  Ep 002 | step 2050/3737 | loss=1.1641 | diff=0.8721 | kd=1.9915 | recon=0.1460 | t=376s
  Ep 002 | step 2100/3737 | loss=0.9416 | diff=0.7575 | kd=1.9883 | recon=0.0921 | t=386s
  Ep 002 | step 2150/3737 | loss=0.8870 | diff=0.7601 | kd=1.9765 | recon=0.0635 | t=395s
  Ep 002 | step 2200/3737 | loss=0.8781 | diff=0.7411 | kd=1.9843 | recon=0.0685 | t=404s
  Ep 002 | step 2250/3737 | loss=0.8929 | diff=0.7568 | kd=1.9919 | recon=0.0680 | t=414s
  Ep 002 | step 2300/3737 | loss=0.9359 | diff=0.7515 | kd=1.9939 | recon=0.0922 | t=423s
  Ep 002 | step 2350/3737 | loss=0.9334 | diff=0.7439 | kd=2.0079 | recon=0.0947 | t=432s
  Ep 002 | step 2400/3737 | loss=0.9749 | diff=0.7488 | kd=1.9801 | recon=0.1131 | t=442s
  Ep 002 | step 2450/3737 | loss=0.8815 | diff=0.7400 | kd=1.9989 | recon=0.0708 | t=451s
  Ep 002 | step 2500/3737 | loss=0.9051 | diff=0.7545 | kd=1.9931 | recon=0.0753 | t=460s
  Ep 002 | step 2550/3737 | loss=1.0361 | diff=0.7404 | kd=1.9882 | recon=0.1479 | t=469s
  Ep 002 | step 2600/3737 | loss=0.9933 | diff=0.8544 | kd=1.9940 | recon=0.0695 | t=479s
  Ep 002 | step 2650/3737 | loss=0.9911 | diff=0.8627 | kd=1.9940 | recon=0.0642 | t=488s
  Ep 002 | step 2700/3737 | loss=0.8934 | diff=0.7406 | kd=1.9900 | recon=0.0764 | t=497s
  Ep 002 | step 2750/3737 | loss=0.8740 | diff=0.7478 | kd=1.9886 | recon=0.0631 | t=507s
  Ep 002 | step 2800/3737 | loss=0.8375 | diff=0.7300 | kd=1.9906 | recon=0.0538 | t=516s
  Ep 002 | step 2850/3737 | loss=0.9174 | diff=0.7446 | kd=1.9902 | recon=0.0864 | t=525s
  Ep 002 | step 2900/3737 | loss=0.8670 | diff=0.7452 | kd=1.9956 | recon=0.0609 | t=535s
  Ep 002 | step 2950/3737 | loss=0.9101 | diff=0.7646 | kd=1.9977 | recon=0.0728 | t=544s
  Ep 002 | step 3000/3737 | loss=1.0654 | diff=0.8596 | kd=1.9832 | recon=0.1029 | t=553s
  Ep 002 | step 3050/3737 | loss=0.9015 | diff=0.7428 | kd=1.9809 | recon=0.0793 | t=563s
  Ep 002 | step 3100/3737 | loss=0.9251 | diff=0.7402 | kd=1.9957 | recon=0.0925 | t=572s
  Ep 002 | step 3150/3737 | loss=0.9450 | diff=0.7354 | kd=1.9998 | recon=0.1048 | t=581s
  Ep 002 | step 3200/3737 | loss=0.8627 | diff=0.7296 | kd=1.9970 | recon=0.0665 | t=590s
  Ep 002 | step 3250/3737 | loss=0.9812 | diff=0.7255 | kd=2.0046 | recon=0.1278 | t=600s
  Ep 002 | step 3300/3737 | loss=0.8311 | diff=0.7348 | kd=1.9924 | recon=0.0481 | t=609s
  Ep 002 | step 3350/3737 | loss=0.8148 | diff=0.7236 | kd=1.9919 | recon=0.0456 | t=618s
  Ep 002 | step 3400/3737 | loss=0.8699 | diff=0.7409 | kd=1.9750 | recon=0.0645 | t=628s
  Ep 002 | step 3450/3737 | loss=1.1189 | diff=0.8491 | kd=1.9848 | recon=0.1349 | t=637s
  Ep 002 | step 3500/3737 | loss=0.8573 | diff=0.7393 | kd=1.9999 | recon=0.0590 | t=645s
  Ep 002 | step 3550/3737 | loss=0.9714 | diff=0.7307 | kd=1.9728 | recon=0.1204 | t=653s
